style_number, astro_sign
36870, Scorpio
36204, Taurus
36294, Libra
36407, Libra
36882, Libra
37268, Virgo
36897, Virgo
35214, Capricorn
36749, Capricorn
36406, Capricorn
36659, Capricorn
36644, Gemini
36844, Aquarius
36863, Gemini
35035, Aquarius
37244, Aquarius
37149, Aquarius
37243, Aquarius
36993, Sagittarius
44097, Capricorn
40048, Aries
04232, Aries
04437, Aries
46163, ERROR
04180, Sagittarius
04394, Sagittarius
04394, Sagittarius
04394, Sagittarius
04394, Sagittarius
46121, Capricorn
04018, Aries
04190, Pisces
40505, ERROR
46156, Aquarius
40767, Aquarius
04702, Taurus
40087, Gemini
40190, Virgo
40982, Pisces
47117, Aries
37169, Gemini
04425, Cancer
04576, Pisces
44026, Sagittarius
40434, Scorpio
04802, ERROR
04322, ERROR
47154, Capricorn
46093, Scorpio
04100, Libra
40153, Virgo
47039, ERROR
40393, ERROR
40452, ERROR
37051, Taurus
36176, Taurus
37049, Aries
36174, Aries
37050, Pisces
36176, Pisces
40622, ERROR
40453, ERROR
40445, ERROR
40720, ERROR
40692, ERROR
40454, ERROR
40729, ERROR
40451, ERROR
40327, ERROR
40327, ERROR
47099, ERROR
40594, ERROR
40387, Gemini
40362, Leo
04171, Pisces
47106, ERROR
47085, ERROR
44016, Cancer
04326, ERROR
40559, ERROR
40552, Virgo
04110, Libra
40401, ERROR
04365, Libra
04365, Libra
04365, Libra
04365, Libra
04365, Libra
40585, Virgo
40410, Scorpio
40670, ERROR
40409, Cancer
47035, Cancer
47035, Cancer
46007, Gemini
46169, ERROR
04582, Taurus
04341, Libra
44061, Cancer
06433, Scorpio
40142, Libra
40652, Pisces
40841, ERROR
36822, Taurus
04027, Virgo
04027, ERROR
40775, ERROR
40423, ERROR
40423, ERROR
40423, ERROR
04383, Leo
46141, Aquarius
46157, Aquarius
04639, Taurus
40091, Taurus
47034, Virgo
40417, Virgo
40730, Taurus
40730, Taurus
40730, Taurus
40730, Taurus
47065, Taurus
40479, Taurus
40479, Taurus
40374, Taurus
40374, Taurus
04008, Virgo
04008, Virgo
04008, Virgo
40626, Aquarius
40135, Scorpio
40641, Scorpio
40043, Cancer
40176, Cancer
46077, ERROR
46054, Aquarius
04551, ERROR
04387, ERROR
04585, Aquarius
04585, Aquarius
04585, Aquarius
04806, ERROR
04585, Aquarius
04585, Aquarius
04585, Aquarius
04585, Aquarius
04585, Aquarius
04585, Aquarius
47008, Aries
04350, Taurus
47023, Taurus
47049, Gemini
47024, Taurus
47052, Cancer
47050, Taurus
47051, Cancer
04706, Taurus
04352, Sagittarius
04368, Leo
47031, Virgo
46138, ERROR
44113, Leo
04006, Taurus
04006, Taurus
40684, Cancer
46090, Aries
47150, ERROR
04624, Pisces
46229, ERROR
46189, ERROR
44012, Gemini
04421, Gemini
04413, Gemini
44105, Gemini
44087, Gemini
40018, Libra
40230, Cancer
44051, Gemini
48424, ERROR
40504, ERROR
40149, Aries
40627, Scorpio
04052, Aries
40181, Virgo
40027, Libra
47094, Aquarius
04502, Aquarius
04502, Aquarius
49029, Scorpio
04130, Capricorn
40687, Taurus
40178, Sagittarius
40151, Libra
47133, Leo
41140, Aries
47043, ERROR
47043, ERROR
47043, ERROR
04376, Libra
47043, ERROR
47043, ERROR
47043, ERROR
04515, ERROR
04515, ERROR
04515, ERROR
48401, ERROR
44027, Capricorn
40116, Scorpio
04511, Virgo
40046, Aries
40614, Scorpio
04704, Cancer
40877, Aries
04629, Libra
None, ERROR
04079, Pisces
44118, Virgo
42068, Scorpio
40493, Cancer
-, ERROR
36196, Cancer
40702, Capricorn
40701, Capricorn
46212, ERROR
40356, Taurus
40390, ERROR
40035, ERROR
40215, ERROR
04578, Libra
47089, Leo
02012, ERROR
40768, Aries
40896, Aquarius
04160, Scorpio
04810, ERROR
40134, Pisces
40002, Virgo
40298, ERROR
40123, ERROR
04988, Leo
04904, ERROR
04901, ERROR
04902, ERROR
04903, ERROR
04989, Sagittarius
47046, Cancer
40876, Aries
47074, Capricorn
47075, Capricorn
04037, Libra
04037, Libra
40630, Leo
48427, ERROR
49038, Cancer
49035, Virgo
49000, Aries
49000, Aries
49000, Aries
49038, Gemini
04996, Leo
04993, Cancer
04992, Pisces
04991, Cancer
47012, Libra
04503, Pisces
40644, Gemini
04083, Virgo
04373, Taurus
40066, Pisces
41142, Gemini
42051, Libra
40826, Sagittarius
47097, Libra
40770, ERROR
40911, ERROR
46172, ERROR
-, Leo
37059, Scorpio
36638, Gemini
-, Gemini
36823, Gemini
47082, Sagittarius
47082, Sagittarius
40503, ERROR
40878, Capricorn
40878, Pisces
47149, ERROR
40772, ERROR
40803, Sagittarius
40803, Cancer
40803, Cancer
40482, Aries
42109, Capricorn
40980, ERROR
37335, Cancer
37833, Cancer
37535, Cancer
37136, Cancer
37326, Virgo
37826, Virgo
37526, Virgo
37130, Virgo
37334, Taurus
37533, Taurus
37139, Taurus
37332, Taurus
37534, Taurus
37138, Taurus
37327, Cancer
37827, Cancer
37527, Cancer
